applicant_gen2, cited_patent_gen2, citing_applicant_gen2, citing_patents_gen2, ipc_current, title_original
"HARVARD COLLEGE","US20140189896A1","","","C12N-0015/63; C12N-0015/74; C12N-0015/85; C12N-0015/90; C12Q-0001/68","SENSOR SYSTEMS FOR TARGET LIGANDS AND USES THEREOF | SYSTÈMES CAPTEURS POUR LIGANDS CIBLES ET UTILISATIONS ASSOCIÉES"
"PIONEER HI-BRED INTERNATIONAL INC","US20090133152A1; US20090328252A1; US20110167516A1; US2012030061W; US201213427138A; US20130019349A1; US20130198888A1; US2013022891W; US20130263324A1; US20130312137A1; US2013039011W; US20140068797A1; US20140189896A1; US201414463687A; US20150059010A1; US20150082478A1; US2016032028W; US2016032073W; US2016057272W; US2016057279W; US4873192A; US4945050A; US5023179A; US5034323A; US5107065A; US5110732A; US5240855A; US5268463A; US5283184A; US5310667A; US5316931A; US5322783A; US5324646A; US5366892A; US5380831A; US5399680A; US5401836A; US5436391A; US5459252A; US5466785A; US5563055A; US5569597A; US5589367A; US5593881A; US5604121A; US5608142A; US5608144A; US5608149A; US5633363A; US5659026A; US5703049A; US5723756A; US5736369A; US5736514A; US5747450A; US5750386A; US5789156A; US5792931A; US5814618A; US5837876A; US5866775A; US5866785A; US5879918A; US5885801A; US5885802A; US5886244A; US5889190A; US5889191A; US5932782A; US5981840A; US5990389A; US6072050A; US6177611B1; US6225114B1; US6225529B1; US6248876B1; US6300543B1; US6867293B2; US7169970B2; US7309576B2; US7626077B2; USPP201462023246P; USPP201462036652P; USPP201462075999P; USPP201562120421P; USPP201562162353P; USPP201562162377P; USPP201562196535P; USPP40145610P; WO1993001294A1; WO1999043838A1; WO2000011177A1; WO2000012733A1; WO2013176772A1; WO2015026886A1; WO2015071474A2; WO2015189693A1; WO2016007347A1; WO2016025131A1; WO2016033298A1; WO2016186946A1; WO2017062855A1","","","C12N-0009/22; C12N-0015/113; C12N-0015/82","NOVEL CAS9 SYSTEMS AND METHODS OF USE | NOUVEAUX SYSTÈMES CAS9 ET PROCÉDÉS D'UTILISATION"
"PIONEER HI-BRED INTERNATIONAL INC","US200814783408A; US20090328252A1; US20110167516A1; US2012030061W; US201213427138A; US20130019349A1; US2013022891W; US20130263324A1; US20130312137A1; US2013039011W; US20140068797A1; US20140189896A1; US201414463687A; US20150059010A1; US20150082478A1; US2016032028W; US2016032073W; US2016057272W; US2016057279W; US4873192A; US4945050A; US5023179A; US5034323A; US5107065A; US5110732A; US5240855A; US5268463A; US5283184A; US5310667A; US5316931A; US5322783A; US5324646A; US5366892A; US5380831A; US5399680A; US5401836A; US5436391A; US5459252A; US5466785A; US5563055A; US5569597A; US5589367A; US5593881A; US5604121A; US5608142A; US5608144A; US5608149A; US5633363A; US5659026A; US5703049A; US5723756A; US5736369A; US5736514A; US5747450A; US5750386A; US5789156A; US5792931A; US5814618A; US5837876A; US5866775A; US5866785A; US5879918A; US5885801A; US5885802A; US5886244A; US5889190A; US5889191A; US5932782A; US5981840A; US5990389A; US6072050A; US6177611B1; US6225114B1; US6225529B1; US6248876B1; US6300543B1; US6867293B2; US7169970B2; US7309576B2; US7626077B2; USPP201462023246P; USPP201462036652P; USPP201462075999P; USPP201562120421P; USPP201562162353P; USPP201562162377P; USPP201562196535P; USPP40145610P; WO1993001294A1; WO1999043838A1; WO2000011177A1; WO2000012733A1; WO2013019888A1; WO2013176772A1; WO2015026886A1; WO2015066119A1; WO2015071474A2; WO2015189693A1; WO2016007347A1; WO2016025131A1; WO2016033298A1","","","C12N-0009/22; C12N-0015/113; C12N-0015/82","NOVEL CAS9 SYSTEMS AND METHODS OF USE | NOUVEAUX SYSTÈMES CAS9 ET PROCÉDÉS D'UTILISATION"
"PIONEER HI-BRED INTERNATIONAL INC","EP2821486A1; US14783408A; US20090328252A1; US20110035836A1; US20110167516A1; US2012030061W; US201213427138A; US20130019349A1; US2013022891W; US20130263324A1; US20130312137A1; US2013039011W; US20140068797A1; US20140189896A1; US20150059010A1; US20150082478A1; US2015058760W; US2016032028W; US2016032073W; US2016057272W; US2016057279W; US4873192A; US4945050A; US5023179A; US5034323A; US5107065A; US5110732A; US5240855A; US5283184A; US5310667A; US5316931A; US5322783A; US5324646A; US5366892A; US5380831A; US5401836A; US5436391A; US5459252A; US5478369A; US5563055A; US5589367A; US5593881A; US5633363A; US5659026A; US5703049A; US5723756A; US5736369A; US5736514A; US5747450A; US5750386A; US5789156A; US5792931A; US5814618A; US5837876A; US5866775A; US5866785A; US5879918A; US5885801A; US5885802A; US5886244A; US5889190A; US5889191A; US5932782A; US5981840A; US5990389A; US6225114B1; US6225529B1; US6248876B1; US6265640B1; US6300543B1; US6660830B1; US6867293B2; US7098388B2; US7169970B2; US7309576B2; US7517975B2; US7612251B2; US7626077B2; US7919676B2; USPP201462023246P; USPP201462036652P; USPP201562162377P; USPP201562243719P; USPP201662309033P; USPP40145610P; WO1993001294A1; WO2000011177A1; WO2007025097A2; WO2012129373A2; WO2013088446A1; WO2013103367A1; WO2013176772A1; WO2015026886A1; WO2015026887A1; WO2015071474A2; WO2015189693A1; WO2016007347A1; WO2016025131A1; WO2016186946A1; WO2016186953A1","","","C12N-0009/22; C12N-0015/113; C12N-0015/82","NOVEL CAS9 SYSTEMS AND METHODS OF USE | NOUVEAUX SYSTÈMES CAS9 ET PROCÉDÉS D'UTILISATION"
"PIONEER HI-BRED INTERNATIONAL INC","EP3115457A1; US2012030061W; US20140189896A1; US20150059010A1; US20150082478A1; US2016032028W; US2016032073W; US5004863A; US5159135A; US5231020A; US5366892A; US5416011A; US5463174A; US5569834A; US5573932A; US5593881A; US5723756A; US5737514A; US5747450A; US6504083B1; USPP201462023246P; USPP201462036652P; WO1992017598A1; WO2007098042A2; WO2013130813A1; WO2014151749A1; WO2015026886A1; WO2016007347A1; WO2016025131A1; WO2016073433A1","","","C12N-0015/82","EXPRESSION MODULATING ELEMENTS AND USE THEREOF | ÉLÉMENTS DE MODULATION D'EXPRESSION ET LEUR UTILISATION"
"DANISCO US INC","EP220864A1; EP2821486A1; US20050130280A1; US20060019297A1; US20060057690A1; US20060094102A1; US20100068789A1; US20110035836A1; US20110059496A1; US20120252079A1; US20120252093A1; US2012030061W; US20130019349A1; US20130089910A1; US20130089911A1; US2013022891W; US20130263324A1; US20140068797A1; US20140189896A1; US20140242702A1; US20140304847A1; US20150059010A1; US20150082478A1; US4937189A; US4945050A; US5034323A; US5107065A; US5240855A; US5283184A; US5316931A; US5322783A; US5324646A; US5380831A; US5436391A; US5563055A; US5589367A; US5736369A; US5866785A; US5879918A; US5886244A; US5889190A; US5889191A; US5932782A; US5981840A; US6265185B1; US6300543B1; US7202356B2; US7217564B2; US7259255B2; US7264949B2; US7309576B2; US7408095B2; US7459546B2; US7932077B2; USPP201462023246P; USPP201462036652P; USPP201462075999P; USPP201562162353P; USPP201562162377P; WO2005095624A2; WO2007025097A2; WO2015026886A1; WO2016110511A1","HARVARD COLLEGE","US10113163B2; US9999671B2","C12N-0015/63; C12N-0015/90","METHODS AND COMPOSITIONS FOR ENHANCED NUCLEASE-MEDIATED GENOME MODIFICATION AND REDUCED OFF-TARGET SITE EFFECTS | PROCÉDÉS ET COMPOSITIONS POUR MODIFICATION DE GÉNOME MÉDIÉE PAR NUCLÉASE AUGMENTÉE ET EFFETS HORS-SITE CIBLE RÉDUITS"
"PIONEER HI-BRED INTERNATIONAL INC","US20100095395A1; US2012030061W; US2013022891W; US20130263324A1; US20140068797A1; US20140189896A1; US20150059010A1; US20150082478A1; US20150315605A1; US2016032028W; US2016032073W; US6765132B1; US7309576B2; US8445763B1; USPP201462023246P; USPP201462036652P; USPP201562242691P; WO2007025097A2; WO2010045211A2; WO2011163590A1; WO2015026883A1; WO2015026885A1; WO2015026886A1; WO2015026887A1; WO2016007347A1; WO2016025131A1; WO2016040030A1; WO2016073433A1; WO2017066597A1","","","A01H-0001/04; C12N-0015/82; C12Q-0001/68","GENERATING NORTHERN LEAF BLIGHT RESISTANT MAIZE | GÉNÉRATION DE MAÏS RÉSISTANT À L'HELMINTHOSPORIOSE DU NORD"
"DU PONT","US20140189896A1; US20150067922A1","EMENDOBIO INC; INARI AGRICULTURE INC; MONSANTO TECHNOLOGY LLC","WO2018081728A1; WO2018085693A1; WO2018119225A1","A01H-0001/02; C12N-0015/82","PLANT GENOME MODIFICATION USING GUIDE RNA/CAS ENDONUCLEASE SYSTEMS AND METHODS OF USE"
"DU PONT","EP2821486A1; EP707638A1; US14783408A; US20090093543A1; US20100068789A1; US20100093617A1; US20100317072A1; US20110035836A1; US20110055973A1; US20110059496A1; US20120052537A1; US20120252079A1; US20120252093A1; US2012030061W; US201213427138A; US20130089910A1; US20130089911A1; US20130198888A1; US2013022891W; US20130263324A1; US2013075895W; US20140068797A1; US20140186906A1; US20140189896A1; US201414463687A; US201414772711A; US20150059010A1; US20150082478A1; US4873192A; US4880741A; US4945050A; US5034323A; US5071764A; US5107065A; US5240855A; US5268463A; US5283184A; US5316931A; US5322783A; US5324646A; US5399680A; US5466785A; US5563055A; US5569597A; US5580967A; US5589367A; US5602321A; US5604121A; US5608142A; US5608144A; US5608149A; US5616459A; US5659026A; US5688670A; US5703049A; US5736369A; US5789156A; US5814618A; US5866785A; US5879918A; US5885801A; US5885802A; US5886244A; US5889190A; US5889191A; US5932782A; US5981840A; US5990389A; US6063566A; US6072050A; US6177611B1; US6300543B1; US6660830B1; US7309576B2; US8697359B1; USPP201462023246P; USPP201462036652P; WO1993001294A1; WO1999043838A1; WO2006052870A2; WO2007025097A2; WO2015026886A1; WO2016094867A1","HARVARD COLLEGE","US10077453B2; US10113163B2; US9999671B2","C12N-0015/11","PROTECTED DNA TEMPLATES FOR GENE MODIFICATION AND INCREASED HOMOLOGOUS RECOMBINATION IN CELLS AND METHODS OF USE | MATRICES ADN PROTÉGÉES POUR MODIFICATION GÉNIQUE ET RECOMBINAISON HOMOLOGUE ACCRUE DANS LES CELLULES ET LEURS PROCÉDÉS D'UTILISATION"
"PIONEER HI-BRED INTERNATIONAL INC","EP2821486A1; US14783408A; US20070178593A1; US20090328252A1; US20100093617A1; US20110035836A1; US20110167516A1; US2012030061W; US20130019349A1; US20130198888A1; US2013022891W; US20130263324A1; US20130312137A1; US20140068797A1; US20140189896A1; US20150059010A1; US20150082478A1; US2016049128W; US2016049144W; US4761373A; US4873192A; US4945050A; US5013659A; US5023179A; US5034323A; US5107065A; US5110732A; US5141870A; US5240855A; US5268463A; US5283184A; US5304732A; US5310667A; US5316931A; US5322783A; US5324646A; US5331107A; US5366892A; US5378824A; US5380831A; US5399680A; US5401836A; US5436391A; US5459252A; US5466785A; US5478369A; US5563055A; US5569597A; US5589367A; US5593881A; US5604121A; US5605011A; US5608142A; US5608144A; US5608149A; US5633363A; US5659026A; US5703049A; US5723756A; US5731180A; US5736369A; US5736514A; US5747450A; US5750386A; US5767361A; US5789156A; US5792931A; US5814618A; US5837876A; US5866775A; US5866785A; US5879918A; US5885801A; US5885802A; US5886244A; US5889190A; US5889191A; US5928937A; US5932782A; US5981840A; US5990389A; US6072050A; US6177611B1; US6225114B1; US6225529B1; US6248876B1; US6265640B1; US6300543B1; US6660830B1; US6867293B2; US7098388B2; US7169970B2; US7309576B2; US7517975B2; US7612251B2; US7626077B2; US7919676B2; US8257956B2; USPP201462023246P; USPP201462036652P; USPP201562120421P; USPP201562162353P; USPP201562162377P; USPP40145610P; WO1993001294A1; WO1996033270A1; WO1999043838A1; WO2000011177A1; WO2000012733A1; WO2007025097A2; WO2013088446A1; WO2013176772A1; WO2014065596A1; WO2015026886A1","HARVARD COLLEGE","US10113163B2; US9999671B2","C12N-0009/22; C12N-0015/01; C12N-0015/82; C12N-0015/90","RESTORING FUNCTION TO A NON-FUNCTIONAL GENE PRODUCT VIA GUIDED CAS SYSTEMS AND METHODS OF USE | RESTAURATION DE LA FONCTION D'UN PRODUIT GÉNIQUE NON FONCTIONNEL PAR L'INTERMÉDIAIRE DE SYSTÈMES CAS GUIDÉS ET MÉTHODES D'UTILISATION ASSOCIÉES"
"BROAD INSTITUTE INC","EP13824232A1; EP2764103A2; US20100076057A1; US20110189776A1; US20110223638A1; US20130130248A1; US20140068797A1; WO2008108989A2; WO2010054108A2; WO2012164565A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013176772A1; WO2014065596A1; WO2014089290A1; WO2014093479A1; WO2014093712A1; WO2014099744A1; WO2014099750A2","BRIGHAM & WOMENS HOSPITAL; BRIGHAM & WOMENS HOSPITAL INC; BROAD INST INC; MASSACHUSETTS GEN HOSPITAL; MASSACHUSETTS INST TECHNOLOGY; NOVARTIS AG; PIONEER HI-BRED INT INC; SYSTEM BIOSCIENCES LLC; TEH BROAD INST INC; THE BOARD INST INC; THE BRIGHAM AND WOMEN'S HOSPITAL INC; THE CHILDREN'S MEDICAL CENTER CORP; The Regents of the University of California; UNIV CALIFORNIA; UNIV OF VIENNA; UNIVERSIT&#65533; LAVAL; VERTEX PHARMA","US10000772B2; US10011850B2; US10077445B2; US10093910B2; US10113167B2; US10119133B2; US10138476B2; US9234213B2; US9512446B1; US9567603B2; US9567604B2; US9580701B2; US9650617B2; US9688972B2; US9738908B2; US9752132B2; US9771601B2; US9822370B2; US9868962B2; US9885033B2; US9926545B2; US9926546B2; US9944912B2; WO2015065964A1; WO2015089351A1; WO2015089354A1; WO2015089364A1; WO2015089419A2; WO2015089465A1; WO2015089486A2; WO2015139139A1; WO2016036754A1; WO2016049163A2; WO2016049251A1; WO2016069591A2; WO2016086197A1; WO2016094867A1; WO2016094872A1; WO2016094874A1; WO2016094880A1; WO2016100974A1; WO2016106236A1; WO2016106244A1; WO2016108926A1; WO2016138488A2; WO2016182893A1; WO2016205728A1; WO2016205745A2; WO2016205764A1; WO2017069958A2; WO2017070605A1; WO2017074788A1; WO2017075294A1; WO2017075451A1; WO2017075465A1; WO2017075478A2; WO2017087708A1; WO2017106569A1; WO2017147196A1; WO2017161325A1; WO2017219027A1; WO2018013840A1; WO2018035250A1; WO2018035364A1; WO2018049025A2; WO2018067991A1; WO2018083606A1","C12N-0009/22; C12N-0015/90","CRISPR-Cas systems and methods for altering expression of gene products"
"UNIV CALIFORNIA","US20140227787A1; WO2015139139A1","HARVARD COLLEGE","US10113163B2; US9999671B2","C12N-0009/22; C12N-0015/09; C12N-0015/90; C12P-0019/34","MODIFIED SITE-DIRECTED MODIFYING POLYPEPTIDES AND METHODS OF USE THEREOF | POLYPEPTIDES DE MODIFICATION CIBLÉE MODIFIÉS ET LEURS PROCÉDÉS D'UTILISATION"
"UNIVERSITÉ LAVAL","US20140227787A1; US20140377868A1; WO2014197568A2","AGILENT TECHNOLOGIES INC; BROAD INST INC; HARVARD COLLEGE; JOUNG J KEITH; PROQR THERAPEUTICS II B V; THE BOARD OF TRUSTEE OF THE LELAND STANFORD JUNIOR UNIV; UNIV CALIFORNIA; UNIV FLORIDA; UNIV IOWA RES FOUND; UNIV LELAND STANFORD JUNIOR; UNIV NORTH CAROLINA STATE","US10077453B2; US10113163B2; US10136649B2; US9340799B2; US9340800B2; US9388430B2; US9526784B2; US9737604B2; US9834791B2; US9840699B2; US9856497B2; US9999671B2; WO2016049258A3; WO2017106569A1; WO2017123559A3; WO2017136520A1; WO2017186815A1; WO2017214460A1; WO2018071892A1; WO2018081806A3; WO2018136783A1","A61K-0047/48; A61P-0009/00; A61P-0025/28; C07H-0021/02; C07K-0014/22; C07K-0014/315; C07K-0014/47; C07K-0019/00; C12N-0015/11; C12N-0015/113; C12N-0015/12; C12N-0015/62; C12N-0015/63; C12N-0015/86","CRISPR-BASED METHODS AND PRODUCTS FOR INCREASING FRATAXIN LEVELS AND USES THEREOF | MÉTHODES CRISPR ET PRODUITS POUVANT AUGMENTER LES TAUX DE FRATAXINE ET LEURS UTILISATIONS"
"UNIV CALIFORNIA","US20050207633A1; US20050273870A1; US20140227787A1; US20140242699A1; WO2001019182A1","BLUEBIRD BIO INC; HARVARD COLLEGE; REGENERON PHARMA; SIGMA-ALDRICH CO LLC","EP3272867A1; US10077453B2; US10113163B2; US9526784B2; US9546384B2; US9737604B2; US9840699B2; US9999671B2; WO2017201476A1; WO2018035423A1","A61K-0048/00; C07H-0021/02; C12P-0019/34","METHODS AND COMPOSITIONS FOR RNA-DIRECTED TARGET DNA MODIFICATION | PROCÉDÉS ET COMPOSITIONS POUR ASSURER LA MODIFICATION DE L'ADN CIBLE ARN DÉPENDANTE"
"MIT","US20100076057A1; US20110189776A1; US20110223638A1; US20130130248A1; US20140068797A1; WO2008108989A2; WO2010054108A2; WO2012164565A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013176772A1; WO2014065596A1; WO2014089290A1; WO2014093479A1; WO2014099744A1; WO2014099750A2","BRIGHAM & WOMENS HOSPITAL; BRIGHAM & WOMENS HOSPITAL INC; BROAD INST INC; MASSACHUSETTS GEN HOSPITAL; MASSACHUSETTS INST TECHNOLOGY; NOVARTIS AG; PIONEER HI-BRED INT INC; TEH BROAD INST INC; THE BOARD INST INC; THE BRIGHAM AND WOMEN'S HOSPITAL INC; THE CHILDREN'S MEDICAL CENTER CORP; The Regents of the University of California; UNIV OF VIENNA; VERTEX PHARMA; YEDA RES & DEV","US10000772B2; US10011850B2; US10077445B2; US10093910B2; US10113167B2; US10119133B2; US10138476B2; US9512446B1; US9567603B2; US9567604B2; US9580701B2; US9650617B2; US9688972B2; US9752132B2; US9771601B2; US9822370B2; US9868962B2; US9885033B2; US9926545B2; US9926546B2; US9944912B2; WO2015065964A1; WO2015089351A1; WO2015089354A1; WO2015089364A1; WO2015089419A2; WO2015089465A1; WO2015089486A2; WO2016049163A2; WO2016049251A1; WO2016069591A2; WO2016086197A1; WO2016094867A1; WO2016094872A1; WO2016094874A1; WO2016094880A1; WO2016100974A1; WO2016106236A1; WO2016106244A1; WO2016108926A1; WO2016138488A2; WO2016182893A1; WO2016205728A1; WO2016205745A2; WO2016205764A1; WO2017069958A2; WO2017070605A1; WO2017074788A1; WO2017075294A1; WO2017075451A1; WO2017075465A1; WO2017075478A2; WO2017087708A1; WO2017147196A1; WO2017161325A1; WO2017219027A1; WO2018013840A1; WO2018035250A1; WO2018035364A1; WO2018047183A1; WO2018049025A2; WO2018067991A1; WO2018083606A1","C12N-0015/85","CRISPR-CAS Nickase Systems, Methods And Compositions For Sequence Manipulation in Eukaryotes"
"BROAD INSTITUTE INC","","BRIGHAM & WOMENS HOSPITAL; BRIGHAM & WOMENS HOSPITAL INC; BROAD INST INC; CARIBOU BIOSCIENCES INC; HARVARD COLLEGE; MASSACHUSETTS GEN HOSPITAL; MASSACHUSETTS INST TECHNOLOGY; MODERNA THERAPEUTICS INC; NOVARTIS AG; PIONEER HI-BRED INT INC; SYSTEM BIOSCIENCES LLC; TEH BROAD INST INC; THE BOARD INST INC; THE BRIGHAM AND WOMEN'S HOSPITAL INC; THE CHILDREN'S MEDICAL CENTER CORP; The Regents of the University of California; UNIV OF VIENNA; UNIV VILNIUS; VERTEX PHARMA","US10000772B2; US10011850B2; US10077445B2; US10093910B2; US10113167B2; US10119133B2; US10125361B2; US10138476B2; US20150050699A1; US9234213B2; US9260752B1; US9410198B2; US9512446B1; US9567603B2; US9567604B2; US9580701B2; US9650617B2; US9688972B2; US9725714B2; US9738908B2; US9752132B2; US9771601B2; US9803194B2; US9809814B1; US9822370B2; US9868962B2; US9885033B2; US9909122B2; US9926545B2; US9926546B2; US9944912B2; US9970030B2; WO2015065964A1; WO2015089351A1; WO2015089354A1; WO2015089364A1; WO2015089419A2; WO2015089465A1; WO2015089486A2; WO2016049163A2; WO2016049251A1; WO2016057835A3; WO2016069591A2; WO2016077123A1; WO2016086197A1; WO2016089866A1; WO2016094867A1; WO2016094872A1; WO2016094874A1; WO2016094880A1; WO2016100974A1; WO2016106236A1; WO2016106244A1; WO2016108926A1; WO2016138488A2; WO2016182893A1; WO2016205728A1; WO2016205745A2; WO2016205764A1; WO2017069958A2; WO2017070605A1; WO2017074788A1; WO2017075294A1; WO2017075451A1; WO2017075465A1; WO2017075478A2; WO2017087708A1; WO2017147196A1; WO2017161325A1; WO2017219027A1; WO2018013840A1; WO2018035250A1; WO2018035364A1; WO2018049025A2; WO2018067991A1; WO2018083606A1","C12N-0015/01; C12Q-0001/68","Engineering of systems, methods and optimized guide compositions for sequence manipulation"
"HARVARD COLLEGE","US20140242664A1; WO2014093622A2","","","A61K-0048/00; C12N-0015/87; C12P-0019/34","THERAPEUTIC USES OF GENOME EDITING WITH CRISPR/CAS SYSTEMS | UTILISATIONS THÉRAPEUTIQUES D'ÉDITION DU GÉNOME AVEC DES SYSTÈMES CRISPR/CAS"
"MODERNA THERAPEUTICS INC.,US","US20120329091A1; US20140147454A1; US20140242664A1","MASSACHUSETTS INST TECHNOLOGY; MASSACHUSETTS INSTITUTE OF TECH; RANA THERAPEUTICS INC; RUBIUS THERAPEUTICS INC; SHIRE HUMAN GENETIC THERAPIES; TRANSLATE BIO INC; Translate Bio Inc.","US10022455B2; US10052284B2; US10087247B2; US10130649B2; US10138213B2; US10144942B2; US9522176B2; US9597413B2; US9629804B2; US9668980B2; US9713626B2; US9850269B2; US9943595B2; US9956271B2; US9957499B2; WO2018009838A1","C12P-0021/00","MULTIPARAMETRIC NUCLEIC ACID OPTIMIZATION | OPTIMISATION D'ACIDES NUCLÉIQUES À PLUSIEURS PARAMÈTRES"
"HARVARD COLLEGE","US20120196370A1; US20140242664A1; US7973015B2; WO2014186585A2","CRISPR THERAPEUTICS AG; HARVARD COLLEGE; REGENERON PHARMA; UNIV YALE","US10077453B2; US10113163B2; US9526784B2; US9737604B2; US9840699B2; US9902971B2; US9999671B2; WO2018089437A1; WO2018154412A1","A61K-0048/00; C12N-0009/10; C12N-0015/00; C12N-0015/07; C12N-0015/87","RNA-GUIDED SYSTEMS FOR IN VIVO GENE EDITING | SYSTÈMES GUIDÉS PAR ARN POUR L'ÉDITION DE GÈNE IN VIVO"
"UNIV VILNIUS","US20140242664A1; US20140342456A1; US20150275231A1; US20150284727A1","AGENOVIR CORP; CARIBOU BIOSCIENCES INC; GE HEALTHCARE DHARMACON INC; HARVARD COLLEGE; MASSACHUSETTS GEN HOSPITAL; The Regents of the University of California; UNIV IOWA RES FOUND; UNIV LELAND STANFORD JUNIOR; UNIV MINNESOTA; UNIV OF VIENNA","US10000772B2; US10011850B2; US10023853B1; US10066241B2; US10077445B2; US10077453B2; US10093910B2; US10113163B2; US10113167B2; US10117911B2; US10119133B2; US10125354B1; US10138472B2; US10138476B2; US20140315985A1; US9228207B2; US9322006B2; US9340799B2; US9340800B2; US9359599B2; US9388430B2; US9487802B2; US9512446B1; US9526784B2; US9567603B2; US9567604B2; US9580727B1; US9677090B2; US9737604B2; US9745562B2; US9745600B2; US9752132B2; US9816080B2; US9816081B1; US9816093B1; US9834791B2; US9840699B2; US9885033B2; US9888673B2; US9926545B2; US9926546B2; US9944912B2; US9957490B1; US9970026B2; US9970027B2; US9999671B2; WO2015184259A1; WO2016186745A1; WO2016196282A1","C12N-0009/22; C12N-0015/10; C12N-0015/113; C12N-0015/90","RNA-DIRECTED DNA CLEAVAGE BY THE Cas9-crRNA COMPLEX"
"MIT","","BRIGHAM & WOMENS HOSPITAL; BRIGHAM & WOMENS HOSPITAL INC; BROAD INST INC; CARIBOU BIOSCIENCES INC; EDITAS MEDICINE INC; GUANGDONG MEDICAL COLLEGE; HARVARD COLLEGE; MASSACHUSETTS EYE & EAR INFIRMARY; MASSACHUSETTS GEN HOSPITAL; MASSACHUSETTS INST TECHNOLOGY; NOVARTIS AG; PIONEER HI-BRED INT INC; RXI PHARMACEUTICALS CORP; SAMPEN HEE-JEONG IM; SYSTEM BIOSCIENCES LLC; TEH BROAD INST INC; THE BOARD INST INC; THE BRIGHAM AND WOMEN'S HOSPITAL INC; THE CHILDREN'S MEDICAL CENTER CORP; The Regents of the University of California; UNIV CALIFORNIA; UNIV IOWA RES FOUND; UNIV OF VIENNA; VERTEX PHARMA","CN104673816A; EP3204050A4; EP3212221A4; EP3212770A4; US10000772B2; US10011850B2; US10077445B2; US10093910B2; US10113167B2; US10119133B2; US10125361B2; US10138476B2; US20130297023A1; US20140342456A1; US20140342458A1; US20150140664A1; US9234213B2; US9260723B2; US9260752B1; US9410198B2; US9512446B1; US9567603B2; US9567604B2; US9580701B2; US9650617B2; US9688972B2; US9725714B2; US9738908B2; US9752132B2; US9771601B2; US9803194B2; US9809814B1; US9822370B2; US9834791B2; US9868962B2; US9885033B2; US9909122B2; US9926545B2; US9926546B2; US9938521B2; US9944912B2; US9970024B2; US9970030B2; WO2015065964A1; WO2015089351A1; WO2015089354A1; WO2015089364A1; WO2015089419A2; WO2015089465A1; WO2015089486A2; WO2016036754A1; WO2016049163A2; WO2016049251A1; WO2016057800A1; WO2016057821A3; WO2016069591A2; WO2016086197A1; WO2016094867A1; WO2016094872A1; WO2016094874A1; WO2016094880A1; WO2016100974A1; WO2016106236A1; WO2016106244A1; WO2016108926A1; WO2016138488A2; WO2016182893A1; WO2016205728A1; WO2016205745A2; WO2016205764A1; WO2017007825A1; WO2017069958A2; WO2017070605A1; WO2017074788A1; WO2017075294A1; WO2017075451A1; WO2017075465A1; WO2017075478A2; WO2017087708A1; WO2017147196A1; WO2017161325A1; WO2017219027A1; WO2018013840A1; WO2018035250A1; WO2018035364A1; WO2018049025A2; WO2018067991A1; WO2018083606A1","C12N-0015/01; C12N-0015/85","Delivery, engineering and optimization of systems, methods and compositions for sequence manipulation and therapeutic applications"
"RXI PHARMACEUTICALS CORPORATION,US","US20110250300A1; US20140242699A1; WO2014191493A1; WO2015031392A1","","","A61P-0025/28; C12N-0009/02; C12N-0015/113; C12N-0015/86","METHODS FOR TREATING NEUROLOGICAL DISORDERS USING A SYNERGISTIC SMALL MOLECULE AND NUCLEIC ACIDS THERAPEUTIC APPROACH | PROCÉDÉS POUR LE TRAITEMENT DE TROUBLES NEUROLOGIQUES À L'AIDE D'UNE PETITE MOLÉCULE SYNERGIQUE ET APPROCHE THÉRAPEUTIQUE UTILISANT DES ACIDES NUCLÉIQUES"
"Sampen Hee-Jeong Im,Lincolnwood,IL,US","US20030044429A1; US20030166001A1; US20040186576A1; US20040230309A1; US20050106142A1; US20050165488A1; US20050181476A1; US20060079905A1; US20070087408A1; US20080019969A1; US20080064643A1; US20080286285A1; US20090062914A1; US20090227487A1; US20090263459A1; US20100092486A1; US20100160413A1; US20100203103A1; US20100297165A1; US20110082186A1; US20120070406A1; US20130045212A1; US20130287760A1; US20130302352A1; US20130309238A1; US20140155379A1; US20140170191A1; US20140178309A1; US20140242699A1; US20140329878A1; US20140377309A1; US20150010524A1; US20150017095A1; US20150017168A1; US20150018269A1; US20150025093A1; US6428576B1; US8841414B1; WO2013012806A2","BOWLES ROBERT D","WO2016205688A3","A61F-0002/44","Methods and Devices For Treating Intervertebral Disc Disease"
"Guangdong Medical University,Zhanjiang,Guangdong,524023,CN","CN103820454A; CN103911376A; US20140242699A1; US20140273231A1","GENERAL HOSPITAL OF NINGXIA MEDICAL UNIV; HARVARD COLLEGE; UNIV IOWA RES FOUND; UNIV SOOCHOW; ZHANGJIAGANG INST IND TECHNOLOGIES SOOCHOW UNIV","CN106544353A; US10077453B2; US10113163B2; US9340799B2; US9340800B2; US9359599B2; US9388430B2; US9526784B2; US9737604B2; US9834791B2; US9840699B2; US9863933B2; US9999671B2; WO2017024602A1","C12N-0001/21; C12N-0015/63; C12N-0015/66","pCr-NHEJ carrier and its constructing method and application for the bacteria gene fixed-point knockout"
"MASSACHUSETTS EYE & EAR INFIRMARY","US20140242699A1","","","A61K-0038/46; C07H-0021/04; C07K-0014/00; C12N-0005/00; C12N-0009/16; C12P-0021/04",""
